Account ID,Transaction Date,Transaction Type,Category,Amount,Description
RXWT2473,8/11/2024 22:25,Withdraw,ATM Cash Withdraw,80,ATM Cash Withdraw at Castle Hill branch
IOPL3764,8/11/2024 23:06,Withdraw,ATM Cash Withdraw,140,ATM Cash Withdraw at Cronulla branch
OAJX8472,15/11/2024 20:37,Payment,Groceries,177.98,Local market shopping
ZEPO3504,27/11/2024 23:19,Withdraw,ATM Cash Withdraw,80,ATM Cash Withdraw at Castle Hill branch
OAJX8472,17/11/2024 13:21,Transfer,Entertainment,375.93,Transfer to Chris for concert ticket
ZEPO3504,7/11/2024 15:24,Transfer,Transportation,76.81,Transfer to Jamie for taxi fare
ZEPO3504,5/11/2024 20:20,Transfer,Utilities,5392.3,Transfer to John for electricity bill
TKRR6271,12/11/2024 09:14,Payment,Groceries,120.54,Organic food shop
XEXV5098,8/11/2024 08:47,Payment,Transportation,11.07,Public transport fare
CQSK8862,15/11/2024 20:41,Transfer,Dining,10.95,Transfer to Sarah for dinner outing
LVGF8990,7/11/2024 21:52,Withdraw,ATM Cash Withdraw,70,ATM Cash Withdraw at Manly branch
LVGF8990,9/11/2024 21:09,Transfer,Utilities,753.67,Transfer to John for electricity bill
YRMX9241,25/11/2024 22:54,Withdraw,ATM Cash Withdraw,200,ATM Cash Withdraw at Castle Hill branch
OAJX8472,9/11/2024 10:46,Withdraw,ATM Cash Withdraw,60,ATM Cash Withdraw at Strathfield branch
OAJX8472,11/11/2024 20:23,Transfer,Transportation,54.38,Transfer to Jamie for taxi fare
RXWT2473,26/11/2024 19:34,Transfer,Entertainment,364.84,Transfer to Chris for concert ticket
YRMX9241,14/11/2024 11:40,Withdraw,ATM Cash Withdraw,120,ATM Cash Withdraw at Strathfield branch
TKRR6271,9/11/2024 23:20,Payment,Dining,34.91,Italian restaurant outing
QXMH1436,17/11/2024 20:11,Withdraw,ATM Cash Withdraw,390,ATM Cash Withdraw at Blacktown branch
CQSK8862,4/11/2024 12:00,Withdraw,ATM Cash Withdraw,30,ATM Cash Withdraw at Liverpool branch
FRQA5486,5/11/2024 20:22,Transfer,Dining,2.74,Transfer to Sarah for dinner outing
FRQA5486,15/11/2024 17:58,Withdraw,ATM Cash Withdraw,220,ATM Cash Withdraw at Penrith branch
RXWT2473,1/11/2024 13:51,Payment,Entertainment,186.23,Movie tickets
TKRR6271,10/11/2024 14:09,Payment,Utilities,4870.55,Gas utility charge
CQSK8862,17/11/2024 15:07,Transfer,Groceries,206.14,Transfer to Alex for supermarket bill
SCRE4918,27/11/2024 22:09,Transfer,Entertainment,318.14,Transfer to Chris for concert ticket
YRMX9241,5/11/2024 17:44,Withdraw,ATM Cash Withdraw,20,ATM Cash Withdraw at Manly branch
NHAD9393,19/11/2024 22:23,Transfer,Groceries,220.54,Transfer to Alex for supermarket bill
ZEPO3504,5/11/2024 11:30,Payment,Entertainment,282.45,Gaming subscription
LVGF8990,28/11/2024 17:18,Transfer,Groceries,158.07,Transfer to Alex for supermarket bill
LVGF8990,13/11/2024 22:14,Withdraw,ATM Cash Withdraw,5890,ATM Cash Withdraw at Strathfield branch
QXMH1436,27/11/2024 09:35,Payment,Transportation,20.83,Gas station refill
QXMH1436,9/11/2024 18:45,Withdraw,ATM Cash Withdraw,150,ATM Cash Withdraw at Liverpool branch
ZEPO3504,1/11/2024 23:33,Payment,Dining,74.85,Fast food meal
SCRE4918,25/11/2024 20:06,Withdraw,ATM Cash Withdraw,270,ATM Cash Withdraw at Castle Hill branch
OAJX8472,22/11/2024 23:59,Deposit,Income,1292.52,Investment income
FZLH2672,10/11/2024 23:28,Deposit,Income,1152.78,Investment income
RXWT2473,6/11/2024 23:51,Withdraw,ATM Cash Withdraw,70,ATM Cash Withdraw at Hornsby branch
LVGF8990,4/11/2024 12:53,Withdraw,ATM Cash Withdraw,160,ATM Cash Withdraw at Strathfield branch
FZLH2672,6/11/2024 13:40,Payment,Groceries,119.44,Local market shopping
PHZB4600,2/11/2024 18:30,Withdraw,ATM Cash Withdraw,90,ATM Cash Withdraw at Castle Hill branch
LVGF8990,21/11/2024 23:37,Transfer,Dining,32.88,Transfer to Sarah for dinner outing
IOPL3764,22/11/2024 22:12,Withdraw,ATM Cash Withdraw,260,ATM Cash Withdraw at Castle Hill branch
FZLH2672,10/11/2024 22:01,Withdraw,ATM Cash Withdraw,40,ATM Cash Withdraw at Hornsby branch
OAJX8472,1/11/2024 11:10,Payment,Utilities,172.63,Water bill settlement
FRQA5486,5/11/2024 18:13,Payment,Transportation,50.77,Gas station refill
OAJX8472,18/11/2024 22:54,Payment,Transportation,82.51,Taxi fare
ZEPO3504,22/11/2024 21:15,Withdraw,ATM Cash Withdraw,90,ATM Cash Withdraw at Chatswood branch
XEXV5098,1/11/2024 08:17,Payment,Utilities,2377.22,Electricity bill payment
RXWT2473,1/11/2024 19:03,Transfer,Transportation,85.18,Transfer to Jamie for taxi fare
TKRR6271,12/11/2024 08:20,Deposit,Income,1401.86,Investment income
SCRE4918,19/11/2024 20:19,Payment,Utilities,4927.44,Water bill settlement
XEXV5098,19/11/2024 23:29,Payment,Groceries,181.22,Supermarket purchase
YRMX9241,4/11/2024 13:04,Payment,Utilities,1506.5,Gas utility charge
OAJX8472,21/11/2024 20:38,Payment,Transportation,50.85,Public transport fare
QXMH1436,24/11/2024 19:22,Withdraw,ATM Cash Withdraw,5180,ATM Cash Withdraw at Penrith branch
OAJX8472,17/11/2024 08:03,Transfer,Dining,77.44,Transfer to Sarah for dinner outing
TKRR6271,26/11/2024 20:19,Withdraw,ATM Cash Withdraw,110,ATM Cash Withdraw at Penrith branch
ZEPO3504,22/11/2024 11:42,Withdraw,ATM Cash Withdraw,300,ATM Cash Withdraw at Newtown branch
ZEPO3504,6/11/2024 21:24,Transfer,Transportation,5,Transfer to Jamie for taxi fare
YRMX9241,19/11/2024 22:29,Payment,Utilities,5110.58,Water bill settlement
TKRR6271,28/11/2024 20:17,Payment,Groceries,147.49,Organic food shop
ZEPO3504,11/11/2024 13:50,Payment,Transportation,94.82,Public transport fare
LVGF8990,27/11/2024 20:19,Payment,Transportation,34.05,Taxi fare
PHZB4600,18/11/2024 20:45,Transfer,Utilities,3211.27,Transfer to John for electricity bill
SCRE4918,26/11/2024 22:35,Transfer,Utilities,8696.83,Transfer to John for electricity bill
RXWT2473,5/11/2024 16:02,Withdraw,ATM Cash Withdraw,10,ATM Cash Withdraw at Penrith branch
RXWT2473,28/11/2024 16:58,Transfer,Entertainment,392.44,Transfer to Chris for concert ticket
PHZB4600,28/11/2024 20:47,Withdraw,ATM Cash Withdraw,60,ATM Cash Withdraw at Newtown branch
ZEPO3504,28/11/2024 14:53,Payment,Groceries,84.72,Organic food shop
XEXV5098,12/11/2024 14:43,Withdraw,ATM Cash Withdraw,70,ATM Cash Withdraw at Newtown branch
LVGF8990,8/11/2024 20:10,Transfer,Transportation,14.25,Transfer to Jamie for taxi fare
QXMH1436,3/11/2024 22:02,Payment,Transportation,97.96,Taxi fare
QXMH1436,23/11/2024 11:07,Withdraw,ATM Cash Withdraw,70,ATM Cash Withdraw at Chatswood branch
FRQA5486,2/11/2024 17:04,Transfer,Dining,29.13,Transfer to Sarah for dinner outing
PHZB4600,26/11/2024 12:41,Payment,Transportation,17.03,Public transport fare
OAJX8472,12/11/2024 20:53,Transfer,Dining,97.05,Transfer to Sarah for dinner outing
NHAD9393,20/11/2024 17:31,Transfer,Transportation,46.58,Transfer to Jamie for taxi fare
YRMX9241,16/11/2024 18:54,Withdraw,ATM Cash Withdraw,7140,ATM Cash Withdraw at Randwick branch
XEXV5098,27/11/2024 20:33,Withdraw,ATM Cash Withdraw,120,ATM Cash Withdraw at Hornsby branch
YRMX9241,10/11/2024 23:40,Payment,Entertainment,31.3,Movie tickets
RXWT2473,20/11/2024 21:11,Payment,Utilities,8638.71,Gas utility charge
LVGF8990,13/11/2024 20:46,Withdraw,ATM Cash Withdraw,40,ATM Cash Withdraw at Bankstown branch
OAJX8472,8/11/2024 09:15,Withdraw,ATM Cash Withdraw,40,ATM Cash Withdraw at Hornsby branch
RXWT2473,19/11/2024 20:08,Withdraw,ATM Cash Withdraw,80,ATM Cash Withdraw at Hornsby branch
TKRR6271,21/11/2024 20:11,Transfer,Utilities,7636.31,Transfer to John for electricity bill
FZLH2672,19/11/2024 11:36,Transfer,Utilities,6241.21,Transfer to John for electricity bill
CQSK8862,22/11/2024 20:55,Payment,Transportation,10.45,Gas station refill
ZEPO3504,14/11/2024 08:57,Withdraw,ATM Cash Withdraw,2950,ATM Cash Withdraw at Randwick branch
FRQA5486,7/11/2024 23:17,Payment,Entertainment,185.2,Movie tickets
CQSK8862,15/11/2024 23:42,Transfer,Transportation,98.72,Transfer to Jamie for taxi fare
IOPL3764,6/11/2024 23:16,Withdraw,ATM Cash Withdraw,2100,ATM Cash Withdraw at Penrith branch
NHAD9393,26/11/2024 14:16,Transfer,Utilities,5743.29,Transfer to John for electricity bill
QXMH1436,18/11/2024 23:08,Transfer,Entertainment,99.11,Transfer to Chris for concert ticket
QXMH1436,9/11/2024 15:14,Withdraw,ATM Cash Withdraw,130,ATM Cash Withdraw at Penrith branch
PHZB4600,12/11/2024 09:42,Payment,Groceries,212.69,Local market shopping
TKRR6271,10/11/2024 21:05,Payment,Groceries,111.54,Local market shopping
FZLH2672,3/11/2024 15:17,Payment,Groceries,22.78,Supermarket purchase
LVGF8990,6/11/2024 19:09,Withdraw,ATM Cash Withdraw,140,ATM Cash Withdraw at Manly branch
FRQA5486,28/11/2024 23:37,Transfer,Entertainment,284.77,Transfer to Chris for concert ticket
QXMH1436,28/11/2024 17:30,Withdraw,ATM Cash Withdraw,30,ATM Cash Withdraw at Cronulla branch
FRQA5486,2/11/2024 20:08,Transfer,Entertainment,179.95,Transfer to Chris for concert ticket
ZEPO3504,17/11/2024 19:22,Transfer,Entertainment,194.81,Transfer to Chris for concert ticket
XEXV5098,19/11/2024 09:43,Transfer,Transportation,72.55,Transfer to Jamie for taxi fare
NHAD9393,12/11/2024 10:34,Payment,Transportation,15.27,Gas station refill
NHAD9393,17/11/2024 12:52,Payment,Dining,17.54,Japanese dinner
QXMH1436,14/11/2024 18:51,Payment,Entertainment,90.11,Gaming subscription
OAJX8472,5/11/2024 10:23,Transfer,Groceries,101.2,Transfer to Alex for supermarket bill
ABCD1234,27/11/2024 14:00,Deposit,Reimbursement,120,Reimbursement from John
EFGH5678,28/11/2024 10:30,Deposit,Reimbursement,200,Reimbursement from Alice
IJKL9101,29/11/2024 18:45,Deposit,Reimbursement,75.5,Reimbursement from Michael
